file,model,auc_score,accuracy
add_wr.csv,logistic_regression,0.7900344858077637,0.7159309021113244
add_wr.csv,gradient_boosting,0.8015408082058537,0.718809980806142
add_wr.csv,adaboost,0.7909500545288413,0.7111324376199616
add_wr.csv,catboost,0.8054904648215285,0.7149712092130518
add_wr.csv,xgboost,0.7764980693842662,0.7034548944337812
add_wr.csv,voting_classifier,,0.7236084452975048
add_wr.csv,stacking_classifier,0.8058220591269489,0.7264875239923224
addWR_dropRec.csv,logistic_regression,0.7449560821764376,0.6708253358925144
addWR_dropRec.csv,gradient_boosting,0.739674521767324,0.6717850287907869
addWR_dropRec.csv,adaboost,0.7187748695729066,0.6535508637236085
addWR_dropRec.csv,catboost,0.7462529843487489,0.6708253358925144
addWR_dropRec.csv,xgboost,0.7118113891590768,0.6324376199616123
addWR_dropRec.csv,voting_classifier,,0.6746641074856046
addWR_dropRec.csv,stacking_classifier,0.7486441477289475,0.6852207293666027
drop_HW_D.csv,logistic_regression,0.7672871164559201,0.699616122840691
drop_HW_D.csv,gradient_boosting,0.7865085330267929,0.6976967370441459
drop_HW_D.csv,adaboost,0.7713454623161493,0.6938579654510557
drop_HW_D.csv,catboost,0.7982948683939046,0.7053742802303263
drop_HW_D.csv,xgboost,0.7763580628997553,0.6938579654510557
drop_HW_D.csv,voting_classifier,,0.7111324376199616
drop_HW_D.csv,stacking_classifier,0.7993043888348514,0.7149712092130518
drop_%.csv,logistic_regression,0.7528553954077873,0.6842610364683301
drop_%.csv,gradient_boosting,0.779128717540602,0.6890595009596929
drop_%.csv,adaboost,0.7648996374568926,0.6967370441458733
drop_%.csv,catboost,0.7881407138856957,0.7111324376199616
drop_%.csv,xgboost,0.7532864680048339,0.6794625719769674
drop_%.csv,voting_classifier,,0.716890595009597
drop_%.csv,stacking_classifier,0.7906129336516639,0.7149712092130518
drop_rts.csv,logistic_regression,0.7572361246205087,0.690978886756238
drop_rts.csv,gradient_boosting,0.797517463966752,0.716890595009597
drop_rts.csv,adaboost,0.784870825596133,0.7111324376199616
drop_rts.csv,catboost,0.8046651634391486,0.7197696737044146
drop_rts.csv,xgboost,0.7682487399416393,0.6804222648752399
drop_rts.csv,voting_classifier,,0.7197696737044146
drop_rts.csv,stacking_classifier,0.8076697762843754,0.72552783109405
drop_W_D.csv,logistic_regression,0.7682597930851535,0.7005758157389635
drop_W_D.csv,gradient_boosting,0.7898097385563121,0.7005758157389635
drop_W_D.csv,adaboost,0.7701701447224925,0.6880998080614203
drop_W_D.csv,catboost,0.8029003448580776,0.7140115163147792
drop_W_D.csv,xgboost,0.7509542547233766,0.6621880998080614
drop_W_D.csv,voting_classifier,,0.7024952015355086
drop_W_D.csv,stacking_classifier,0.8039411825389808,0.716890595009597
min_all.csv,logistic_regression,0.7667123529931912,0.699616122840691
min_all.csv,gradient_boosting,0.7838005128658591,0.6976967370441459
min_all.csv,adaboost,0.7627571698057595,0.6804222648752399
min_all.csv,catboost,0.7944152150204852,0.7120921305182342
min_all.csv,xgboost,0.7711299260176261,0.6861804222648752
min_all.csv,voting_classifier,,0.7092130518234165
min_all.csv,stacking_classifier,0.7891115483243436,0.7063339731285988
min_%_10.csv,logistic_regression,0.7716494237627848,0.7015355086372361
min_%_10.csv,gradient_boosting,0.786663277035989,0.690978886756238
min_%_10.csv,adaboost,0.7773546880066023,0.7216890595009597
min_%_10.csv,catboost,0.7977495799805465,0.7130518234165067
min_%_10.csv,xgboost,0.7646564682995844,0.6871401151631478
min_%_10.csv,voting_classifier,,0.7159309021113244
min_%_10.csv,stacking_classifier,0.797500884251481,0.7226487523992322
diff_rts.csv,logistic_regression,0.7670623692044684,0.6938579654510557
diff_rts.csv,gradient_boosting,0.7876470068087364,0.7015355086372361
diff_rts.csv,adaboost,0.776794662068559,0.6957773512476008
diff_rts.csv,catboost,0.801990302708757,0.7034548944337812
diff_rts.csv,xgboost,0.7850568868452854,0.6938579654510557
diff_rts.csv,voting_classifier,,0.710172744721689
diff_rts.csv,stacking_classifier,0.800531287764907,0.7111324376199616
only_grap.csv,logistic_regression,0.7336781914109706,0.6737044145873321
only_grap.csv,gradient_boosting,0.7883728298994901,0.7216890595009597
only_grap.csv,adaboost,0.7814701417749874,0.7063339731285988
only_grap.csv,catboost,0.7893934034839508,0.710172744721689
only_grap.csv,xgboost,0.7409364223185074,0.6717850287907869
only_grap.csv,voting_classifier,,0.7149712092130518
only_grap.csv,stacking_classifier,0.7874793674654406,0.710172744721689
only_strk.csv,logistic_regression,0.7676923983847672,0.6986564299424184
only_strk.csv,gradient_boosting,0.7905687210776078,0.7053742802303263
only_strk.csv,adaboost,0.7753338049341233,0.7072936660268714
only_strk.csv,catboost,0.7927940873050962,0.6957773512476008
only_strk.csv,xgboost,0.7673571196981755,0.6880998080614203
only_strk.csv,voting_classifier,,0.7044145873320538
only_strk.csv,stacking_classifier,0.7907695198514456,0.7034548944337812
